"tk2" "tk3" "tk4" "value" "fk2" "fk3" "fk4"
"1143" 2 3 4 "1143" 2 3 4
"1144" 1 2 3 "1144" 2 3 4
"1145" 2 3 4 "1145" 2 3 4
"1146" 2 3 4 "1146" 2 3 4
"1149" 1 2 3 "1149" 2 3 4
"1150" 1 2 3 "1150" 2 3 4
"1151" 1 1 2 "1151" 1 2 3
"1156" 2 3 4 "1156" 2 3 4
"1157" 2 3 4 "1157" 2 3 4
"1158" 2 3 4 "1158" 2 3 4
"1159" 2 3 4 "1159" 2 3 4
"1160" 2 3 4 "1160" 2 3 4
"1161" 2 3 4 "1161" 2 3 4
"1162" 2 3 4 "1162" 2 3 4
"1163" 2 3 4 "1163" 2 3 4
"1164" 2 3 4 "1164" 2 3 4
"1167" 2 3 4 "1167" 2 3 4
"1171" 2 3 4 "1171" 2 3 4
"1172" 2 3 4 "1172" 2 3 4
"1177" 1 2 3 "1177" 2 3 4
"1178" 2 3 4 "1178" 2 3 4
"1179" 2 3 4 "1179" 2 3 4
"1183" 1 2 3 "1183" 2 3 4
"1184" 2 3 4 "1184" 2 3 4
"1189" 2 3 4 "1189" 2 3 4
"1190" 2 3 4 "1190" 2 3 4
"1191" 2 3 4 "1191" 2 3 4
"1192" 2 3 4 "1192" 2 3 4
"1193" 2 3 4 "1193" 2 3 4
"1194" 2 3 4 "1194" 2 3 4
"1195" 2 3 4 "1195" 2 3 4
"1196" 2 3 4 "1196" 2 3 4
"1197" 2 3 4 "1197" 2 3 4
"1204" 2 3 4 "1204" 2 3 4
"1205" 2 3 4 "1205" 2 3 4
"1210" 2 3 4 "1210" 2 3 4
"1211" 2 3 4 "1211" 2 3 4
"1212" 1 2 3 "1212" 1 2 3
"1216" 2 3 4 "1216" 2 3 4
"1220" 2 3 4 "1220" 2 3 4
"1224" 2 3 4 "1224" 2 3 4
"1225" 2 3 4 "1225" 2 3 4
"1226" 2 3 4 "1226" 2 3 4
"1227" 2 3 4 "1227" 2 3 4
"1228" 2 3 4 "1228" 2 3 4
"1241" 2 3 4 "1241" 2 3 4
"1242" 2 3 4 "1242" 2 3 4
"1243" 2 3 4 "1243" 2 3 4
"1244" 2 3 4 "1244" 2 3 4
"1257" 2 3 4 "1257" 2 3 4
"1258" 2 3 4 "1258" 2 3 4
"1276" 2 3 4 "1276" 2 3 4
